Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;1-RV-1-RN;1RV  0001  RN;RIACHO VELHO;Leros;4,861E+16;2020/09;1,0747;0;1,0747;210
Rio Grande do Norte;Potiguar;4-ALC-2-RN;4ALC 0002  RN;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/09;0;0;0;0
Rio Grande do Norte;Potiguar;1-BRSA-12-RN;1ALC4RN;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/09;0;0;0;272
Rio Grande do Norte;Potiguar;3-AURI-23-RN;3AURI23RN;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/09;1,3821;0;1,3821;720
Rio Grande do Norte;Potiguar;7-PQO-1-RN;7PQO1RN;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/09;0;0;0;0
Rio Grande do Norte;Potiguar;7-PQO-2-RN;PQO-2;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/09;2,6224;0;2,6224;720
Rio Grande do Norte;Potiguar;7-PQO-3-RN;PQO-3;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/09;0;0;0;0
Rio Grande do Norte;Potiguar;1-GALP-42-RN;1PTL1RN;PERIQUITO NORTE;Phoenix Óleo & Gás;4,861E+16;2020/09;0;0;0;272
Rio Grande do Norte;Potiguar;3-BRSA-956-RN;3RAG6RN;Periquito Nordeste;Phoenix Óleo & Gás;4,861E+16;2020/09;4,7243;0;4,7243;701
Rio Grande do Norte;Potiguar;3-BRSA-1074-RN;3RAG8RN;Periquito Nordeste;Phoenix Óleo & Gás;4,861E+16;2020/09;0,4374;0;0,4374;272
Rio Grande do Norte;Potiguar;7-CCZ-1-RN;7-CCZ-1-RN;CONCRIZ;Phoenix Óleo & Gás;4,861E+16;2020/09;22,6244;0;22,6244;553
Rio Grande do Norte;Potiguar;7-CCZ-2-RN;7-CCZ-2-RN;CONCRIZ;Phoenix Óleo & Gás;4,861E+16;2020/09;13,9105;0;13,9105;646
Rio Grande do Norte;Potiguar;1-QTR-11-RN;1QTR11RN;CONCRIZ;Phoenix Óleo & Gás;4,861E+16;2020/09;0;0;0;0
Rio Grande do Norte;Potiguar;1-RC-4-RN;1RC  0004  RN;RIO DO CARMO;Phoenix Óleo & Gás;4,861E+16;2020/09;0;0;0;0
Rio Grande do Norte;Potiguar;4-VR-2-RN;4VR  0002  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;10,3784;0;10,3784;720
Rio Grande do Norte;Potiguar;7-BR-8-RN;7BR  0008  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;17,7315;0;17,7315;720
Rio Grande do Norte;Potiguar;7-BR-11-RN;7BR  0011  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;7,3934;0;7,3934;718
Rio Grande do Norte;Potiguar;7-BR-14-RN;7BR  0014  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;2,913;0;2,913;720
Rio Grande do Norte;Potiguar;7-BR-16-RN;7BR  0016  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;47,0517;0;47,0517;720
Rio Grande do Norte;Potiguar;7-BR-18-RN;7BR  0018  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;0,8232;0;0,8232;720
Rio Grande do Norte;Potiguar;7-BR-23-RN;7BR  0023  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;37,996;0;37,996;720
Rio Grande do Norte;Potiguar;7-BR-27-RN;7BR  0027  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;18,998;0;18,998;720
Rio Grande do Norte;Potiguar;7-BR-37-RN;7BR  0037  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;14,438;0;14,438;717
Rio Grande do Norte;Potiguar;7-BR-38-RN;7BR  0038  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;7,9188;0;7,9188;487
Rio Grande do Norte;Potiguar;7-BR-24-RN;7BR  0024  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;7,1538;0;7,1538;720
Rio Grande do Norte;Potiguar;7-BR-39-RN;7BR39RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;8,3591;0;8,3591;720
Rio Grande do Norte;Potiguar;7-BR-43-RN;7BR43RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;1,6465;0;1,6465;720
Rio Grande do Norte;Potiguar;7-BR-44-RN;7BR44RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;5,185;0;5,185;719
Rio Grande do Norte;Potiguar;7-BR-47-RN;7BR47RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;37,1785;0;37,1785;718
Rio Grande do Norte;Potiguar;7-BR-48-RN;7BR48RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;6,5226;0;6,5226;720
Rio Grande do Norte;Potiguar;7-BR-50-RN;7BR50RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;54,8409;0;54,8409;720
Rio Grande do Norte;Potiguar;7-BR-51-RN;7BR51RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;7,5992;0;7,5992;720
Rio Grande do Norte;Potiguar;7-BR-53-RN;7BR53RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;5,3194;0;5,3194;720
Rio Grande do Norte;Potiguar;7-BR-54-RN;7BR54RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;4,8128;0;4,8128;720
Rio Grande do Norte;Potiguar;7-BR-67-RN;7BR67RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;4,5595;0;4,5595;720
Rio Grande do Norte;Potiguar;7-BR-68-RN;7BR68RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;21,1511;0;21,1511;720
Rio Grande do Norte;Potiguar;7-BR-69-RN;7BR69RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;1,3932;0;1,3932;720
Rio Grande do Norte;Potiguar;7-BR-72-RN;7BR72RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;0,5691;0;0,5691;719
Rio Grande do Norte;Potiguar;7-BR-73-RN;7BR73RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;3,4753;0;3,4753;718
Rio Grande do Norte;Potiguar;7-BR-74-RN;7BR74RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;3,5463;0;3,5463;720
Rio Grande do Norte;Potiguar;7-BR-75-RN;7BR75RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;3,2249;0;3,2249;719
Rio Grande do Norte;Potiguar;7-BR-76-RN;7BR76RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;4,6862;0;4,6862;720
Rio Grande do Norte;Potiguar;7-BR-77-RN;7BR77RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;6,396;0;6,396;720
Rio Grande do Norte;Potiguar;7-VR-11-RN;7VR  0011  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;0,19;0;0,19;720
Rio Grande do Norte;Potiguar;7-VR-12-RN;7VR  0012  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;2,8341;0;2,8341;716
Rio Grande do Norte;Potiguar;7-VR-14-RN;7VR  0014  RN;BREJINHO;Potiguar E&P S.A.;4,8E+14;2020/09;1,7019;0;1,7019;605
Rio Grande do Norte;Potiguar;7-LOR-6-RN;7LOR 0006  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;15,705;0;15,705;720
Rio Grande do Norte;Potiguar;7-LOR-9-RN;7LOR 0009  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;102,5575;0;102,5575;719
Rio Grande do Norte;Potiguar;7-LOR-11-RN;7LOR 0011  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;31,0934;0;31,0934;720
Rio Grande do Norte;Potiguar;7-LOR-13-RN;7LOR 0013  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;14,8818;0;14,8818;720
Rio Grande do Norte;Potiguar;7-LOR-14-RN;7LOR 0014  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;5,3828;0;5,3828;720
Rio Grande do Norte;Potiguar;7-LOR-18-RN;7LOR 0018  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;31,4078;0;31,4078;719
Rio Grande do Norte;Potiguar;7-LOR-19-RN;7LOR 0019  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;9,2;0;9,2;712
Rio Grande do Norte;Potiguar;7-LOR-23-RN;7LOR 0023  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;14,3771;0;14,3771;678
Rio Grande do Norte;Potiguar;7-LOR-26-RN;7LOR 0026  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;3,6317;0;3,6317;712
Rio Grande do Norte;Potiguar;7-LOR-27-RN;7LOR 0027  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;7,529;0;7,529;649
Rio Grande do Norte;Potiguar;7-LOR-28-RN;7LOR 0028  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;16,7599;0;16,7599;716
Rio Grande do Norte;Potiguar;7-LOR-30-RN;7LOR 0030  RN;LORENA;Potiguar E&P S.A.;4,8E+14;2020/09;0;0;0;720
