Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;7-ET-1638D-RN;7ET1638DRN;ESTREITO;Petrobras;4,8E+14;2020/12;1,4398;0;1,4398;742
Alagoas;Alagoas;7-TM-34-AL;7TM  0034  AL;TABULEIRO DOS MARTINS;Petrosynergy;4,8E+14;2020/12;2,5493;0;2,5493;742
Alagoas;Alagoas;7-TM-36-AL;7TM  0036  AL;TABULEIRO DOS MARTINS;Petrosynergy;4,8E+14;2020/12;0;0;0;744
Alagoas;Alagoas;7-TM-37D-AL;7TM  0037D AL;TABULEIRO DOS MARTINS;Petrosynergy;4,8E+14;2020/12;0,0042;0;0,0042;740
Sergipe;Sergipe;1-ARI-1-SE;1ARI 0001  SE;ARUARI;Petrobras;4,8E+14;2020/12;0;0;0;0
Alagoas;Alagoas;1-BRSA-935-AL;1BEL1AL;ARAPAÇU;Petrobras;4,861E+16;2020/12;0;0;0;744
Amazonas;Solimões;1-BRSA-769-AM;1ICB1AM;ARARA AZUL;Petrobras;4,861E+16;2020/12;0;1.353,35;1.353,35;744
Amazonas;Solimões;3-BRSA-1106DA-AM;3ICB2DAAM;ARARA AZUL;Petrobras;4,861E+16;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1233-SE;7CP  1233  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;4,1888;0;4,1888;740
Sergipe;Sergipe;7-CP-1234-SE;7CP  1234  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0,4165;0;0,4165;57
Sergipe;Sergipe;7-CP-1235D-SE;7CP  1235D SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1236D-SE;7CP  1236D SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1237-SE;7CP  1237  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1238D-SE;7CP  1238D SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1239-SE;7CP  1239  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1240-SE;7CP  1240  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1241D-SE;7CP  1241D SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1242-SE;7CP  1242  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;7,4729;0;7,4729;744
Sergipe;Sergipe;7-CP-1243-SE;7CP  1243  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;1,3383;0;1,3383;375
Sergipe;Sergipe;7-CP-1244-SE;7CP  1244  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1245-SE;7CP  1245  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;10,1917;0;10,1917;623
Sergipe;Sergipe;7-CP-1246-SE;7CP  1246  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;8,3762;0;8,3762;446
Sergipe;Sergipe;7-CP-1247-SE;7CP  1247  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;2,3315;0;2,3315;741
Sergipe;Sergipe;7-CP-1248-SE;7CP  1248  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CP-1250-SE;7CP  1250  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;11,6855;0;11,6855;740
Sergipe;Sergipe;7-CP-1252-SE;7CP  1252  SE;CARMÓPOLIS;Petrobras;4,8E+14;2020/12;10,5772;0;10,5772;744
Bahia;Recôncavo;7-AG-36-BA;7AG  0036  BA;ÁGUA GRANDE;Petrobras;4,8E+14;2020/12;1,8669;0;1,8669;744
Sergipe;Sergipe;7-AG-15D-SE;7AG15DSE;AGUILHADA;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-AG-18D-SE;7AG18DSE;AGUILHADA;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-AG-7-SE;7AG  0007  SE;AGUILHADA;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;9-CL-5-SE;9CL  0005  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;2,3149;0;2,3149;738
Sergipe;Sergipe;9-CL-7-SE;9CL  0007  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;9-CL-9-SE;9CL  0009  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;7-CL-11-SE;7CL  0011  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;9-CL-12-SE;9CL  0012  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;9-CL-14-SE;9CL  0014  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;4,1665;0;4,1665;738
Sergipe;Sergipe;9-CL-16-SE;9CL  0016  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;0;0;0;0
Sergipe;Sergipe;9-CL-18-SE;9CL  0018  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;4,1957;0;4,1957;742
Sergipe;Sergipe;9-CL-19-SE;9CL  0019  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;5,1349;0;5,1349;743
Sergipe;Sergipe;9-CL-21-SE;9CL  0021  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;2,8008;0;2,8008;743
Sergipe;Sergipe;9-CL-23-SE;9CL  0023  SE;CASTANHAL;Petrobras;4,8E+14;2020/12;4,666;0;4,666;742
Sergipe;Sergipe;8-CL-53-SE;8CL53SE;CASTANHAL;Petrobras;4,8E+14;2020/12;0;0;0;0
Bahia;Recôncavo;7-DJ-41-BA;7DJ  0041  BA;DOM JOÃO MAR;Petrobras;4,8E+14;2020/12;5,3945;0;5,3945;636
Bahia;Recôncavo;7-DJ-789H-BA;7DJ789HBA;DOM JOÃO MAR;Petrobras;4,8E+14;2020/12;0;0;0;0
Bahia;Recôncavo;9-DJM-806H-BA;9DJ806HBA;DOM JOÃO MAR;Petrobras;4,8E+14;2020/12;6,8581;0;6,8581;625
Rio Grande do Norte;Potiguar;7-ARG-786D-RN;7ARG786DRN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/12;9,7886;0;9,7886;744
Rio Grande do Norte;Potiguar;7-ARG-791D-RN;7ARG791DRN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/12;9,5238;0;9,5238;744
Rio Grande do Norte;Potiguar;7-ARG-832D-RN;7ARG832DRN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/12;1,4852;0;1,4852;744
Rio Grande do Norte;Potiguar;7-ARG-833-RN;7ARG833RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/12;1,7317;0;1,7317;744
Rio Grande do Norte;Potiguar;7-ARG-830D-RN;7ARG830DRN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/12;4,456;0;4,456;744
Bahia;Recôncavo;7-AG-48-BA;7AG  0048  BA;ÁGUA GRANDE;Petrobras;4,8E+14;2020/12;0;0;0;0
Bahia;Recôncavo;7-AG-52-BA;7AG  0052  BA;ÁGUA GRANDE;Petrobras;4,8E+14;2020/12;66,9264;0;66,9264;744
Bahia;Recôncavo;7-AG-74-BA;7AG  0074  BA;ÁGUA GRANDE;Petrobras;4,8E+14;2020/12;13,0674;0;13,0674;724
