Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;7-ET-1344D-RN;7ET1344DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1312-RN;7ET1312RN;ESTREITO;Petrobras;4,8E+14;2020/11;9,6412;0;9,6412;720
Rio Grande do Norte;Potiguar;7-ET-1319-RN;7ET1319RN;ESTREITO;Petrobras;4,8E+14;2020/11;7,1467;0;7,1467;720
Rio Grande do Norte;Potiguar;7-ET-1324-RN;7ET1324RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,4921;0;0,4921;694
Rio Grande do Norte;Potiguar;7-ET-1316-RN;7ET1316RN;ESTREITO;Petrobras;4,8E+14;2020/11;17,3559;0;17,3559;720
Rio Grande do Norte;Potiguar;7-ET-1318-RN;7ET1318RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5314;0;1,5314;720
Rio Grande do Norte;Potiguar;7-ET-1140-RN;7ET1140RN;ESTREITO;Petrobras;4,8E+14;2020/11;5,1044;0;5,1044;720
Rio Grande do Norte;Potiguar;7-ET-1432-RN;7ET1432RN;ESTREITO;Petrobras;4,8E+14;2020/11;6,7634;0;6,7634;715
Rio Grande do Norte;Potiguar;7-ET-1377-RN;7ET1377RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,4761;0;0,4761;675
Rio Grande do Norte;Potiguar;7-ET-1424-RN;7ET1424RN;ESTREITO;Petrobras;4,8E+14;2020/11;3,8762;0;3,8762;718
Rio Grande do Norte;Potiguar;7-ET-1374-RN;7ET1374RN;ESTREITO;Petrobras;4,8E+14;2020/11;8,9818;0;8,9818;719
Rio Grande do Norte;Potiguar;7-ET-1447-RN;7ET1447RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1325-RN;7ET1325RN;ESTREITO;Petrobras;4,8E+14;2020/11;3,8175;0;3,8175;692
Rio Grande do Norte;Potiguar;7-ET-1386-RN;7ET1386RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,4761;0;0,4761;675
Rio Grande do Norte;Potiguar;7-ET-1329-RN;7ET1329RN;ESTREITO;Petrobras;4,8E+14;2020/11;29,1944;0;29,1944;697
Rio Grande do Norte;Potiguar;7-ET-1369-RN;7ET1369RN;ESTREITO;Petrobras;4,8E+14;2020/11;15,3182;0;15,3182;695
Rio Grande do Norte;Potiguar;7-ET-1343-RN;7ET1343RN;ESTREITO;Petrobras;4,8E+14;2020/11;2,7778;0;2,7778;720
