MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PRECO MÍNIMO REVENDA,PRECO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PRECO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PRECO MÍNIMO DISTRIBUIÇÃO,PRECO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
jun.-03,GNV,1344,R$/m3,1.062,77,899,1.399,355,72,707,160,380,1.090,227
jul.-03,GNV,1520,R$/m3,1.061,79,870,1.399,353,74,708,160,405,1.090,226
Aug-03,GNV,1294,R$/m3,1.058,82,799,1.399,356,77,702,159,388,1.090,227
Sep-03,GNV,1663,R$/m3,1.060,82,859,1.399,348,77,712,157,405,1.090,220
Oct-03,GNV,1549,R$/m3,1.062,83,830,1.399,342,78,720,153,405,1.090,213
nov.-03,GNV,1479,R$/m3,1.064,77,799,1.399,354,73,710,156,405,1.090,220
Dec-03,GNV,1892,R$/m3,1.065,77,799,1.349,355,72,710,154,388,1.214,217
jan.-04,GNV,1531,R$/m3,1.074,78,799,1.319,365,73,710,153,380,1.085,216
Feb-04,GNV,1551,R$/m3,1.075,81,850,1.319,369,76,706,155,380,1.065,219
mar.-04,GNV,1974,R$/m3,1.076,82,850,1.319,364,76,712,156,380,1.030,220
Apr-04,GNV,1634,R$/m3,1.073,82,799,1.288,361,76,712,155,404,1.033,218
May-04,GNV,1800,R$/m3,1.130,83,840,1.288,311,73,819,157,421,1.020,192
jun.-04,GNV,2698,R$/m3,1.135,62,850,1.288,320,55,815,164,421,1.033,201
jul.-04,GNV,2388,R$/m3,1.152,56,880,1.399,337,49,815,159,421,1.033,195
Aug-04,GNV,2904,R$/m3,1.150,59,880,1.399,332,51,818,154,410,1.041,188
Sep-04,GNV,2714,R$/m3,1.151,62,920,1.399,338,54,813,151,421,1.041,186
Oct-04,GNV,2597,R$/m3,1.151,67,899,1.399,337,58,814,151,440,1.041,186
nov.-04,GNV,3175,R$/m3,1.091,63,899,1.399,391,58,700,150,440,1.279,214
Dec-04,GNV,2848,R$/m3,1.096,70,909,1.399,390,64,706,153,440,1.270,217
jan.-05,GNV,3232,R$/m3,1.103,74,829,1.399,403,67,700,154,440,1.279,220
Feb-05,GNV,2522,R$/m3,1.104,76,899,1.399,404,69,700,155,363,1.000,221
mar.-05,GNV,3390,R$/m3,1.104,88,799,1.490,404,80,700,158,421,1.279,226
Apr-05,GNV,2904,R$/m3,1.106,99,699,1.399,400,90,706,159,454,1.279,225
May-05,GNV,3437,R$/m3,1.107,99,659,1.399,404,89,703,161,452,1.027,229
jun.-05,GNV,3233,R$/m3,1.139,94,869,1.550,409,83,730,164,456,1.040,225
jul.-05,GNV,3031,R$/m3,1.142,97,899,1.599,400,85,742,166,418,1.040,224
Aug-05,GNV,1808,R$/m3,1.136,118,779,1.699,391,104,745,162,456,1.077,217
Sep-05,GNV,1385,R$/m3,1.193,116,940,1.899,435,97,758,176,418,1.547,232
Oct-05,GNV,2223,R$/m3,1.189,103,949,1.450,429,87,760,180,456,1.250,237
nov.-05,GNV,2821,R$/m3,1.204,122,949,1.490,431,101,773,180,474,1.250,233
Dec-05,GNV,2325,R$/m3,1.208,136,949,1.770,423,113,785,182,474,1.250,232
jan.-06,GNV,2701,R$/m3,1.202,142,940,1.590,427,118,775,177,474,1.151,228
Feb-06,GNV,2097,R$/m3,1.225,138,949,1.680,450,113,775,181,494,1.179,234
mar.-06,GNV,2832,R$/m3,1.240,141,929,1.680,429,114,811,191,474,1.250,236
Apr-06,GNV,2193,R$/m3,1.250,134,899,1.790,427,107,823,191,473,1.250,232
May-06,GNV,2746,R$/m3,1.251,143,799,1.790,436,114,815,199,474,1.443,244
jun.-06,GNV,2411,R$/m3,1.251,155,799,1.790,427,124,824,200,494,1.400,243
jul.-06,GNV,2554,R$/m3,1.238,178,799,1.840,415,144,823,207,486,1.470,252
Aug-06,GNV,2935,R$/m3,1.267,159,850,1.840,442,125,825,215,474,1.470,261
Sep-06,GNV,2555,R$/m3,1.270,154,1.039,1.840,434,121,836,218,474,1.520,261
Oct-06,GNV,2427,R$/m3,1.272,153,999,1.840,430,120,842,213,473,1.520,253
nov.-06,GNV,2411,R$/m3,1.266,158,950,1.870,432,125,834,212,475,1.520,254
Dec-06,GNV,2196,R$/m3,1.269,155,950,1.840,437,122,832,217,473,1.520,261
jan.-07,GNV,3032,R$/m3,1.271,153,999,1.870,435,120,836,215,507,1.540,257
Feb-07,GNV,2797,R$/m3,1.271,156,790,1.870,443,123,828,222,481,1.540,268
mar.-07,GNV,2898,R$/m3,1.269,161,799,1.890,431,127,838,220,495,1.676,263
Apr-07,GNV,2969,R$/m3,1.268,158,790,1.870,435,125,833,218,504,1.618,262
May-07,GNV,3906,R$/m3,1.338,163,989,1.900,491,122,847,229,511,1.618,270
jun.-07,GNV,3158,R$/m3,1.349,163,1.050,1.900,476,121,873,223,511,1.620,255
jul.-07,GNV,3854,R$/m3,1.348,172,980,1.900,468,128,880,220,532,1.670,250
Aug-07,GNV,2433,R$/m3,1.354,174,950,1.900,451,129,903,220,586,1.660,244
Sep-07,GNV,1842,R$/m3,1.354,171,959,1.900,446,126,908,222,586,1.698,244
Oct-07,GNV,2399,R$/m3,1.371,174,999,1.900,435,127,936,222,603,1.698,237
nov.-07,GNV,1892,R$/m3,1.373,176,999,1.900,435,128,938,213,620,1.670,227
Dec-07,GNV,2129,R$/m3,1.378,173,949,1.900,441,126,937,206,632,1.672,220
jan.-08,GNV,2130,R$/m3,1.436,180,949,1.990,480,125,956,223,633,1.766,233
Feb-08,GNV,1916,R$/m3,1.453,188,999,1.990,469,129,984,213,641,1.766,216
mar.-08,GNV,1896,R$/m3,1.453,190,999,1.960,443,131,1.010,196,655,1.766,194
Apr-08,GNV,2468,R$/m3,1.452,196,999,2.049,448,135,1.004,199,562,1.859,198
May-08,GNV,1896,R$/m3,1.468,182,1.049,2.049,443,124,1.025,194,562,1.859,189
jun.-08,GNV,1951,R$/m3,1.556,138,1.059,2.150,514,89,1.042,201,655,1.859,193
jul.-08,GNV,2450,R$/m3,1.599,126,1.219,2.150,467,79,1.132,202,674,1.859,178
Aug-08,GNV,1942,R$/m3,1.637,127,1.295,2.249,476,78,1.161,195,732,1.859,168
Sep-08,GNV,2000,R$/m3,1.651,132,1.359,2.249,471,80,1.180,184,732,1.859,156
Oct-08,GNV,2582,R$/m3,1.657,137,1.290,2.249,452,83,1.205,177,748,1.899,147
nov.-08,GNV,2064,R$/m3,1.670,153,1.259,2.300,457,92,1.213,183,817,2.000,151
Dec-08,GNV,2597,R$/m3,1.715,145,1.349,2.550,466,85,1.249,178,817,2.326,143
jan.-09,GNV,2060,R$/m3,1.767,121,1.359,2.550,504,68,1.263,187,817,2.326,148
Feb-09,GNV,2096,R$/m3,1.730,140,1.350,2.550,423,81,1.307,182,817,2.367,139
mar.-09,GNV,2470,R$/m3,1.715,149,1.339,2.590,430,87,1.285,195,817,2.400,152
Apr-09,GNV,2300,R$/m3,1.690,154,1.249,2.590,418,91,1.272,198,817,2.400,156
May-09,GNV,2253,R$/m3,1.661,149,1.269,2.550,409,90,1.252,192,915,2.400,153
jun.-09,GNV,2545,R$/m3,1.608,152,1.180,2.398,404,95,1.204,186,817,2.218,154
jul.-09,GNV,2491,R$/m3,1.578,139,1.259,2.390,414,88,1.164,182,817,2.213,156
Aug-09,GNV,1177,R$/m3,1.570,143,1.259,2.390,398,91,1.172,174,793,1.779,148
Sep-09,GNV,1878,R$/m3,1.548,172,1.129,2.760,398,111,1.150,193,457,2.213,168
Oct-09,GNV,1913,R$/m3,1.567,165,1.179,2.630,427,105,1.140,213,705,2.213,187
nov.-09,GNV,2237,R$/m3,1.577,173,1.189,2.579,435,110,1.142,216,699,2.213,189
Dec-09,GNV,2419,R$/m3,1.587,173,1.259,2.390,426,109,1.161,226,746,2.213,195
jan.-10,GNV,2125,R$/m3,1.579,175,1.198,2.390,423,111,1.156,220,746,2.142,190
Feb-10,GNV,2214,R$/m3,1.584,176,1.170,2.390,430,111,1.154,222,768,2.142,192
mar.-10,GNV,2817,R$/m3,1.595,175,1.197,2.400,432,110,1.163,211,633,2.160,181
Apr-10,GNV,2256,R$/m3,1.582,181,1.119,2.390,422,114,1.160,223,768,2.160,192
May-10,GNV,2353,R$/m3,1.608,162,1.259,2.339,425,101,1.183,206,709,2.160,174
jun.-10,GNV,2750,R$/m3,1.607,163,1.259,2.400,407,101,1.200,196,774,2.205,163
jul.-10,GNV,2227,R$/m3,1.607,163,1.159,2.369,400,101,1.207,185,770,2.220,153
Aug-10,GNV,2459,R$/m3,1.613,163,1.299,2.389,394,101,1.219,191,768,2.200,157
Sep-10,GNV,2296,R$/m3,1.611,161,1.299,2.389,392,100,1.219,180,749,2.200,148
Oct-10,GNV,2102,R$/m3,1.616,159,1.299,2.389,390,98,1.226,175,767,2.240,143
nov.-10,GNV,2568,R$/m3,1.618,157,1.299,2.389,382,97,1.236,183,768,2.240,148
Dec-10,GNV,2072,R$/m3,1.572,193,1.097,2.389,365,123,1.207,191,769,2.216,158
jan.-11,GNV,2237,R$/m3,1.552,217,1.099,2.389,379,140,1.173,210,751,2.212,179
Feb-11,GNV,1820,R$/m3,1.555,215,1.099,2.389,391,138,1.164,215,604,2.212,185
mar.-11,GNV,2570,R$/m3,1.566,229,1.049,2.389,383,146,1.183,203,653,2.212,172
Apr-11,GNV,1977,R$/m3,1.602,212,1.099,2.389,412,132,1.190,207,627,1.750,174
May-11,GNV,2419,R$/m3,1.627,198,1.099,2.389,427,122,1.200,200,620,1.891,167
jun.-11,GNV,2226,R$/m3,1.631,200,1.099,2.389,420,123,1.211,203,631,2.007,168
jul.-11,GNV,2079,R$/m3,1.618,204,1.099,2.409,399,126,1.219,201,631,2.006,165
Aug-11,GNV,2591,R$/m3,1.617,199,1.099,2.409,389,123,1.228,202,696,2.236,164
Sep-11,GNV,2192,R$/m3,1.611,202,1.099,2.409,400,125,1.211,195,709,2.006,161
Oct-11,GNV,2321,R$/m3,1.614,203,1.099,2.449,405,126,1.209,207,631,2.247,171
nov.-11,GNV,2335,R$/m3,1.610,203,1.099,2.310,395,126,1.215,202,631,2.080,166
Dec-11,GNV,2022,R$/m3,1.623,194,1.099,2.499,411,120,1.212,194,631,1.980,160
jan.-12,GNV,2398,R$/m3,1.632,181,1.189,2.549,403,111,1.229,182,663,1.760,148
Feb-12,GNV,2091,R$/m3,1.635,185,1.009,2.549,418,113,1.217,204,696,2.252,168
mar.-12,GNV,2020,R$/m3,1.634,185,1.199,2.369,406,113,1.228,167,696,1.708,136
Apr-12,GNV,2094,R$/m3,1.694,191,1.189,2.369,417,113,1.277,180,697,1.773,141
May-12,GNV,2559,R$/m3,1.711,197,1.190,2.369,423,115,1.288,185,697,1.822,144
jun.-12,GNV,2128,R$/m3,1.726,189,1.190,2.579,432,110,1.294,174,791,1.822,134
jul.-12,GNV,2460,R$/m3,1.734,187,1.290,2.579,430,108,1.304,173,768,1.911,133
Aug-12,GNV,2204,R$/m3,1.739,188,1.279,2.490,427,108,1.312,157,870,1.830,120
Sep-12,GNV,2049,R$/m3,1.740,184,1.349,2.399,392,106,1.348,160,786,1.878,119
Oct-12,GNV,2538,R$/m3,1.741,183,1.349,2.399,400,105,1.341,167,830,1.866,125
nov.-12,GNV,2078,R$/m3,1.742,184,1.319,2.399,401,106,1.341,160,878,1.918,119
Dec-12,GNV,2081,R$/m3,1.757,171,1.359,2.599,407,97,1.350,158,886,1.970,117
jul.-01,ÓLEO DIESEL,14011,R$/l,829,42,659,1.000,103,51,726,50,512,930,68
Aug-01,ÓLEO DIESEL,24726,R$/l,850,46,699,1.280,100,54,750,44,519,979,59
Sep-01,ÓLEO DIESEL,29217,R$/l,860,47,729,1.280,105,54,755,44,592,960,58
Oct-01,ÓLEO DIESEL,37296,R$/l,898,53,690,1.390,123,59,775,49,543,982,63
nov.-01,ÓLEO DIESEL,30633,R$/l,908,49,739,1.320,120,54,787,48,593,1.020,61
Dec-01,ÓLEO DIESEL,34126,R$/l,908,49,770,1.320,121,54,786,48,490,990,61
jan.-02,ÓLEO DIESEL,36644,R$/l,883,47,658,1.320,133,53,751,47,532,961,63
Feb-02,ÓLEO DIESEL,32373,R$/l,878,45,700,1.320,131,51,747,44,578,932,58
mar.-02,ÓLEO DIESEL,32492,R$/l,889,45,701,1.320,130,51,759,43,557,956,56
Apr-02,ÓLEO DIESEL,39991,R$/l,958,49,710,1.390,146,51,812,50,578,1.030,62
May-02,ÓLEO DIESEL,41764,R$/l,976,49,799,1.390,138,50,838,48,628,1.043,57
jun.-02,ÓLEO DIESEL,32784,R$/l,988,47,810,1.390,135,48,853,45,503,1.049,52
jul.-02,ÓLEO DIESEL,48633,R$/l,1.064,57,820,1.390,155,53,909,55,620,1.120,61
Aug-02,ÓLEO DIESEL,39510,R$/l,1.068,52,718,1.400,141,49,927,45,620,1.134,49
Sep-02,ÓLEO DIESEL,33774,R$/l,1.066,52,899,1.390,139,49,927,44,604,1.134,48
Oct-02,ÓLEO DIESEL,35062,R$/l,1.068,52,880,1.390,139,49,928,44,665,1.134,48
nov.-02,ÓLEO DIESEL,30469,R$/l,1.264,68,900,1.690,211,54,1.053,97,651,1.379,92
Dec-02,ÓLEO DIESEL,37539,R$/l,1.392,90,999,1.940,206,64,1.186,76,819,1.495,64
jan.-03,ÓLEO DIESEL,30766,R$/l,1.527,77,1.200,1.940,203,50,1.324,85,875,1.633,64
Feb-03,ÓLEO DIESEL,30340,R$/l,1.539,77,1.320,1.940,184,50,1.355,65,885,1.596,48
mar.-03,ÓLEO DIESEL,32998,R$/l,1.536,77,1.299,1.940,178,50,1.358,59,1.045,1.651,44
Apr-03,ÓLEO DIESEL,35327,R$/l,1.529,78,1.250,1.940,175,51,1.354,59,1.042,1.590,43
May-03,ÓLEO DIESEL,30443,R$/l,1.456,77,1.230,1.900,180,53,1.276,65,983,1.652,51
jun.-03,ÓLEO DIESEL,33842,R$/l,1.429,76,1.039,1.980,176,53,1.253,56,905,1.573,45
jul.-03,ÓLEO DIESEL,35091,R$/l,1.416,75,1.149,1.980,170,53,1.245,54,946,1.541,44
Aug-03,ÓLEO DIESEL,30058,R$/l,1.408,76,1.200,1.900,169,54,1.239,54,949,1.506,43
Sep-03,ÓLEO DIESEL,36411,R$/l,1.401,76,1.148,1.900,170,54,1.230,53,931,1.595,43
Oct-03,ÓLEO DIESEL,31463,R$/l,1.395,76,1.178,1.900,169,55,1.227,54,980,1.547,44
nov.-03,ÓLEO DIESEL,30109,R$/l,1.391,77,1.090,1.930,166,55,1.226,53,980,1.686,43
Dec-03,ÓLEO DIESEL,37474,R$/l,1.390,76,1.190,1.900,166,55,1.224,51,973,1.490,42
jan.-04,ÓLEO DIESEL,29928,R$/l,1.393,75,1.210,1.900,164,54,1.229,52,1.000,1.495,42
Feb-04,ÓLEO DIESEL,29915,R$/l,1.392,75,1.210,1.900,163,54,1.230,53,1.001,1.495,43
mar.-04,ÓLEO DIESEL,37335,R$/l,1.389,75,1.199,1.900,161,54,1.228,53,1.001,1.496,43
Apr-04,ÓLEO DIESEL,29930,R$/l,1.387,74,1.134,1.900,159,53,1.228,53,1.001,1.501,43
May-04,ÓLEO DIESEL,36726,R$/l,1.440,80,1.180,1.900,177,56,1.263,54,1.003,1.549,43
jun.-04,ÓLEO DIESEL,47940,R$/l,1.494,97,1.150,1.990,195,65,1.299,72,731,1.590,55
jul.-04,ÓLEO DIESEL,42470,R$/l,1.547,83,1.288,2.050,189,54,1.358,60,1.131,1.650,44
Aug-04,ÓLEO DIESEL,51366,R$/l,1.548,81,1.290,2.050,187,52,1.361,55,1.073,1.651,40
Sep-04,ÓLEO DIESEL,43842,R$/l,1.548,81,1.290,2.050,185,52,1.363,55,1.129,1.657,40
Oct-04,ÓLEO DIESEL,42214,R$/l,1.580,89,1.290,2.150,199,56,1.381,62,1.200,1.703,45
nov.-04,ÓLEO DIESEL,50184,R$/l,1.591,95,1.339,2.150,186,60,1.405,65,1.222,1.836,46
Dec-04,ÓLEO DIESEL,44164,R$/l,1.692,88,1.429,2.150,199,52,1.493,70,1.222,1.876,47
jan.-05,ÓLEO DIESEL,49264,R$/l,1.690,86,1.460,2.370,189,51,1.501,59,1.220,1.857,39
Feb-05,ÓLEO DIESEL,39403,R$/l,1.687,87,1.399,2.370,187,52,1.500,60,1.187,1.827,40
mar.-05,ÓLEO DIESEL,47745,R$/l,1.684,87,1.129,2.370,187,52,1.497,60,1.222,1.886,40
Apr-05,ÓLEO DIESEL,41885,R$/l,1.683,85,1.460,2.350,183,51,1.500,58,1.222,1.886,39
May-05,ÓLEO DIESEL,49831,R$/l,1.697,86,1.460,2.350,179,51,1.518,59,1.187,1.925,39
jun.-05,ÓLEO DIESEL,44191,R$/l,1.695,87,1.450,2.350,175,51,1.520,59,1.222,1.925,39
jul.-05,ÓLEO DIESEL,41705,R$/l,1.694,87,1.460,2.350,174,51,1.520,59,1.220,1.941,39
Aug-05,ÓLEO DIESEL,26947,R$/l,1.694,86,1.300,2.350,174,51,1.520,60,1.357,1.990,39
Sep-05,ÓLEO DIESEL,26797,R$/l,1.830,120,1.440,2.500,220,66,1.610,104,1.010,2.190,65
Oct-05,ÓLEO DIESEL,36406,R$/l,1.885,87,1.340,2.790,195,46,1.690,67,1.072,2.180,40
nov.-05,ÓLEO DIESEL,47139,R$/l,1.888,91,1.599,2.630,192,48,1.696,64,1.269,2.181,38
Dec-05,ÓLEO DIESEL,42071,R$/l,1.888,93,1.650,2.600,193,49,1.695,63,1.353,2.181,37
jan.-06,ÓLEO DIESEL,48593,R$/l,1.889,93,1.630,2.650,194,49,1.695,63,1.328,2.162,37
Feb-06,ÓLEO DIESEL,35831,R$/l,1.889,95,1.610,2.650,192,50,1.697,63,1.496,2.200,37
mar.-06,ÓLEO DIESEL,47633,R$/l,1.889,97,1.640,2.698,193,51,1.696,64,1.425,2.168,38
Apr-06,ÓLEO DIESEL,39552,R$/l,1.889,97,1.640,2.590,193,51,1.696,66,1.340,2.161,39
May-06,ÓLEO DIESEL,47372,R$/l,1.886,98,1.589,2.680,191,52,1.695,66,1.165,2.163,39
jun.-06,ÓLEO DIESEL,41082,R$/l,1.883,97,1.660,2.580,190,52,1.693,65,1.510,2.166,38
jul.-06,ÓLEO DIESEL,41567,R$/l,1.883,99,1.659,2.580,190,53,1.693,65,1.425,2.160,38
Aug-06,ÓLEO DIESEL,46192,R$/l,1.882,97,1.679,2.580,188,52,1.694,65,1.425,2.169,38
Sep-06,ÓLEO DIESEL,35684,R$/l,1.880,98,1.630,2.580,182,52,1.698,66,1.425,2.169,39
Oct-06,ÓLEO DIESEL,34528,R$/l,1.879,99,1.660,2.580,182,53,1.697,66,1.427,2.169,39
nov.-06,ÓLEO DIESEL,33711,R$/l,1.879,97,1.649,2.580,183,52,1.696,65,1.425,2.169,38
Dec-06,ÓLEO DIESEL,30233,R$/l,1.878,98,1.660,2.580,182,52,1.696,67,1.425,2.169,40
jan.-07,ÓLEO DIESEL,40045,R$/l,1.878,98,1.650,2.700,181,52,1.697,66,1.425,2.170,39
Feb-07,ÓLEO DIESEL,33628,R$/l,1.877,97,1.650,2.580,180,52,1.697,66,1.415,2.215,39
mar.-07,ÓLEO DIESEL,33835,R$/l,1.878,98,1.630,2.580,182,52,1.696,66,1.222,2.172,39
Apr-07,ÓLEO DIESEL,34732,R$/l,1.879,97,1.620,2.580,184,52,1.695,66,1.415,2.172,39
May-07,ÓLEO DIESEL,40734,R$/l,1.877,95,1.649,2.580,182,51,1.695,64,1.415,2.157,38
jun.-07,ÓLEO DIESEL,30949,R$/l,1.875,95,1.649,2.580,180,51,1.695,64,1.425,2.158,38
jul.-07,ÓLEO DIESEL,35057,R$/l,1.873,93,1.659,2.580,178,50,1.695,63,1.425,2.158,37
Aug-07,ÓLEO DIESEL,28489,R$/l,1.875,94,1.640,2.580,180,50,1.695,62,1.425,2.221,37
Sep-07,ÓLEO DIESEL,21320,R$/l,1.873,95,1.656,2.580,178,51,1.695,60,1.425,2.158,35
Oct-07,ÓLEO DIESEL,27815,R$/l,1.872,93,1.629,2.500,176,50,1.696,58,1.425,2.039,34
nov.-07,ÓLEO DIESEL,22113,R$/l,1.876,96,1.670,2.580,176,51,1.700,61,1.425,2.160,36
Dec-07,ÓLEO DIESEL,24777,R$/l,1.880,99,1.658,2.580,176,53,1.704,63,1.425,2.165,37
jan.-08,ÓLEO DIESEL,33019,R$/l,1.891,93,1.667,2.580,174,49,1.717,60,1.425,2.181,35
Feb-08,ÓLEO DIESEL,29865,R$/l,1.894,94,1.690,2.580,173,50,1.721,62,1.580,2.183,36
mar.-08,ÓLEO DIESEL,29945,R$/l,1.895,95,1.677,2.580,174,50,1.721,62,1.580,2.206,36
Apr-08,ÓLEO DIESEL,37337,R$/l,1.896,95,1.690,2.580,174,50,1.722,63,1.559,2.208,37
May-08,ÓLEO DIESEL,29709,R$/l,2.059,101,1.740,2.750,221,49,1.838,90,1.593,2.373,49
jun.-08,ÓLEO DIESEL,29860,R$/l,2.068,95,1.729,2.750,196,46,1.872,66,1.590,2.294,35
jul.-08,ÓLEO DIESEL,37275,R$/l,2.107,94,1.849,2.750,199,45,1.908,67,1.640,2.331,35
Aug-08,ÓLEO DIESEL,29743,R$/l,2.120,92,1.850,2.758,194,43,1.926,63,1.710,2.352,33
Sep-08,ÓLEO DIESEL,29865,R$/l,2.122,92,1.850,2.790,196,43,1.926,64,1.603,2.332,33
Oct-08,ÓLEO DIESEL,37320,R$/l,2.123,93,1.839,2.790,196,44,1.927,64,1.714,2.370,33
nov.-08,ÓLEO DIESEL,29945,R$/l,2.125,93,1.869,2.790,197,44,1.928,64,1.714,2.333,33
Dec-08,ÓLEO DIESEL,37354,R$/l,2.126,95,1.789,2.790,200,45,1.926,64,1.761,2.500,33
jan.-09,ÓLEO DIESEL,29693,R$/l,2.125,95,1.890,2.790,197,45,1.928,65,1.770,2.500,34
Feb-09,ÓLEO DIESEL,29652,R$/l,2.126,95,1.899,2.980,200,45,1.926,66,1.780,2.403,34
mar.-09,ÓLEO DIESEL,34806,R$/l,2.125,95,1.899,2.790,202,45,1.923,67,1.770,2.361,35
Apr-09,ÓLEO DIESEL,32146,R$/l,2.123,94,1.849,2.790,203,44,1.920,67,1.770,2.364,35
May-09,ÓLEO DIESEL,29821,R$/l,2.122,95,1.900,2.790,204,45,1.918,69,1.750,2.373,36
jun.-09,ÓLEO DIESEL,34408,R$/l,2.078,115,1.780,2.790,229,55,1.849,106,1.600,2.373,57
jul.-09,ÓLEO DIESEL,32999,R$/l,2.016,107,1.769,2.750,243,53,1.773,81,1.600,2.340,46
Aug-09,ÓLEO DIESEL,15526,R$/l,2.009,108,1.499,2.750,239,54,1.770,79,956,2.318,45
Sep-09,ÓLEO DIESEL,14919,R$/l,1.998,111,1.199,2.750,234,56,1.764,84,876,2.263,48
Oct-09,ÓLEO DIESEL,22354,R$/l,2.000,112,1.490,2.890,238,56,1.762,80,1.090,2.265,45
nov.-09,ÓLEO DIESEL,26935,R$/l,2.002,112,1.229,2.890,240,56,1.762,79,1.050,2.298,45
Dec-09,ÓLEO DIESEL,30393,R$/l,1.999,108,1.030,2.750,238,54,1.761,75,1.175,2.268,43
jan.-10,ÓLEO DIESEL,26486,R$/l,2.005,105,1.699,2.750,234,52,1.771,72,1.231,2.189,41
Feb-10,ÓLEO DIESEL,27870,R$/l,2.008,108,1.500,2.750,234,54,1.774,71,1.331,2.234,40
mar.-10,ÓLEO DIESEL,36314,R$/l,2.007,109,1.449,2.750,233,54,1.774,70,1.208,2.218,39
Apr-10,ÓLEO DIESEL,29421,R$/l,2.005,109,1.690,2.820,232,54,1.773,70,1.355,2.179,39
May-10,ÓLEO DIESEL,30691,R$/l,2.003,111,1.650,2.750,232,55,1.771,70,1.310,2.224,40
jun.-10,ÓLEO DIESEL,35460,R$/l,2.002,109,1.599,2.750,232,54,1.770,70,1.242,2.140,40
jul.-10,ÓLEO DIESEL,29483,R$/l,2.002,110,1.699,2.829,232,55,1.770,70,1.304,2.150,40
Aug-10,ÓLEO DIESEL,34884,R$/l,1.999,109,1.448,2.750,232,55,1.767,68,1.324,2.085,38
Sep-10,ÓLEO DIESEL,31537,R$/l,1.998,110,1.648,2.750,230,55,1.768,71,1.470,2.085,40
Oct-10,ÓLEO DIESEL,29592,R$/l,2.000,109,1.699,2.750,233,55,1.767,73,1.222,2.212,41
nov.-10,ÓLEO DIESEL,36262,R$/l,2.000,110,1.580,2.750,236,55,1.764,75,1.185,2.213,43
Dec-10,ÓLEO DIESEL,30196,R$/l,2.000,111,1.699,2.750,237,56,1.763,76,1.201,2.237,43
jan.-11,ÓLEO DIESEL,33045,R$/l,2.009,112,1.690,2.720,231,56,1.778,78,1.576,2.212,44
Feb-11,ÓLEO DIESEL,26021,R$/l,2.016,108,1.449,2.880,229,54,1.787,73,1.517,2.300,41
mar.-11,ÓLEO DIESEL,37149,R$/l,2.025,111,1.699,2.820,235,55,1.790,77,1.195,2.300,43
Apr-11,ÓLEO DIESEL,29725,R$/l,2.032,114,1.020,2.826,241,56,1.791,80,1.230,2.330,45
May-11,ÓLEO DIESEL,35021,R$/l,2.030,112,1.699,2.980,241,55,1.789,78,1.420,2.330,44
jun.-11,ÓLEO DIESEL,31996,R$/l,2.026,114,1.730,2.890,240,56,1.786,80,1.173,2.330,45
jul.-11,ÓLEO DIESEL,29864,R$/l,2.028,112,1.699,2.790,238,55,1.790,79,1.438,2.280,44
Aug-11,ÓLEO DIESEL,36762,R$/l,2.027,112,1.729,2.800,236,55,1.791,78,1.540,2.359,44
Sep-11,ÓLEO DIESEL,30239,R$/l,2.027,113,1.749,2.800,237,56,1.790,80,1.540,2.379,45
Oct-11,ÓLEO DIESEL,33252,R$/l,2.029,114,1.699,2.799,231,56,1.798,83,1.607,2.389,46
nov.-11,ÓLEO DIESEL,33404,R$/l,2.030,113,1.749,2.810,229,56,1.801,81,1.564,2.389,45
Dec-11,ÓLEO DIESEL,29780,R$/l,2.032,113,1.749,2.799,227,56,1.805,83,1.481,2.350,46
jan.-12,ÓLEO DIESEL,35300,R$/l,2.038,112,1.700,2.800,224,55,1.814,82,1.519,2.257,45
Feb-12,ÓLEO DIESEL,30884,R$/l,2.040,115,1.669,2.800,223,56,1.817,85,1.181,2.373,47
mar.-12,ÓLEO DIESEL,30022,R$/l,2.042,113,1.680,2.949,224,55,1.818,84,1.029,2.359,46
Apr-12,ÓLEO DIESEL,30078,R$/l,2.045,112,1.680,2.800,228,55,1.817,85,1.481,2.390,47
May-12,ÓLEO DIESEL,36387,R$/l,2.045,113,1.739,2.790,231,55,1.814,87,1.418,2.390,48
jun.-12,ÓLEO DIESEL,29404,R$/l,2.045,113,1.729,2.800,234,55,1.811,87,1.301,2.353,48
jul.-12,ÓLEO DIESEL,33338,R$/l,2.076,118,1.739,2.940,236,57,1.840,93,1.299,2.367,51
Aug-12,ÓLEO DIESEL,32239,R$/l,2.131,112,1.797,2.950,233,53,1.898,83,1.512,2.397,44
Sep-12,ÓLEO DIESEL,28844,R$/l,2.136,111,1.790,2.950,232,52,1.904,83,1.639,2.437,44
Oct-12,ÓLEO DIESEL,35122,R$/l,2.145,112,1.799,2.950,227,52,1.918,85,1.650,2.570,44
nov.-12,ÓLEO DIESEL,29152,R$/l,2.148,113,1.800,2.950,223,53,1.925,84,1.638,2.570,44
Dec-12,ÓLEO DIESEL,29334,R$/l,2.151,112,1.869,2.950,224,52,1.927,81,1.660,2.570,42
