Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Sergipe;Sergipe;1-SES-107D-SES;1SES 0107D SE       ;TARTARUGA;UP Petróleo;480000038359735;2007/01;125,9788;0,0000;125,9788;2,4738;0,0000;2,4738;46,68765;1,0145;;;234
Rio de Janeiro;Campos;7-BJ-9H-RJS;7BJW                ;BIJUPIRÁ;Shell Brasil;480000037099781;2007/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0
Rio de Janeiro;Campos;7-BJ-8HA-RJS;7BJQ2               ;BIJUPIRÁ;Shell Brasil;480000037099781;2007/01;4.433,0561;0,0000;4.433,0561;44,8906;0,0000;44,8906;1.382,91243;1.033,4219;;;705
Rio de Janeiro;Campos;7-BJ-11HP-RJS;7BJT                ;BIJUPIRÁ;Shell Brasil;480000037099781;2007/01;4.641,2143;0,0000;4.641,2143;49,7053;0,0000;49,7053;1.531,23260;1.494,4528;;;723
Rio de Janeiro;Campos;7-BJ-7HPA-RJS;7BJUX               ;BIJUPIRÁ;Shell Brasil;480000037099781;2007/01;446,4568;0,0000;446,4568;5,4942;0,0000;5,4942;169,25450;770,3556;;;130
Rio de Janeiro;Campos;7-BJ-16H-RJS;7BJS                ;BIJUPIRÁ;Shell Brasil;480000037099781;2007/01;5.847,2610;0,0000;5.847,2610;58,8658;0,0000;58,8658;1.813,43574;1.230,7170;;;723
Rio de Janeiro;Campos;7-BJ-18HPA-RJS;7BJVx               ;BIJUPIRÁ;Shell Brasil;480000037099781;2007/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0
Rio de Janeiro;Campos;7-BJ-20HPA-RJS;BJBX                ;BIJUPIRÁ;Shell Brasil;480000037099781;2007/01;0,0020;0,0000;0,0020;0,0000;0,0000;0,0000;0,00000;0,0000;;;0
Rio de Janeiro;Campos;7-SA-3HPA-RJS;7SAEZ               ;SALEMA;Shell Brasil;480000037109760;2007/01;7.591,4213;0,0000;7.591,4213;129,2898;0,0000;129,2898;3.989,38695;18,5549;;;559
Rio de Janeiro;Campos;7-SA-5HP-RJS;7SAF                ;SALEMA;Shell Brasil;480000037109760;2007/01;4.364,5661;0,0000;4.364,5661;74,2298;0,0000;74,2298;2.290,44578;4.660,0391;;;706
Rio de Janeiro;Campos;1-RJS-345-RJ;1RJS 0345  RJ       ;MALHADO;Petrobras;480000037169746;2007/01;228,0929;0,0000;228,0929;4,1391;0,0000;4,1391;125,76830;889,9858;;;0
Rio de Janeiro;Campos;3-MLH-2D-RJS;3MLH 0002D RJS      ;MALHADO;Petrobras;480000037169746;2007/01;409,4240;0,0000;409,4240;4,1887;0,0000;4,1887;127,27740;706,1428;;;0
Rio de Janeiro;Campos;3-MLH-1-RJS;3MLH 0001  RJS      ;MALHADO;Petrobras;480000037169746;2007/01;3.157,6266;0,0000;3.157,6266;48,8882;0,0000;48,8882;1.485,49743;6,2959;;;0
Rio de Janeiro;Campos;3-RJS-346D-RJ;3RJS 0346D RJ       ;MALHADO;Petrobras;480000037169746;2007/01;636,8067;0,0000;636,8067;6,1205;0,0000;6,1205;185,97543;1.230,7515;;;0
Rio de Janeiro;Campos;7-MLS-30HP-RJS;7MLS30HPRJS         ;MARLIM SUL;Petrobras;480000037249774;2007/01;9.313,5509;0,0000;9.313,5509;184,6652;0,0000;184,6652;5.716,83625;64,0384;;;0
Rio de Janeiro;Campos;7-MLS-10HPA-RJS;7MLS10HPARJS        ;MARLIM SUL;Petrobras;480000037249774;2007/01;11.947,1228;0,0000;11.947,1228;174,8828;0,0000;174,8828;5.413,99432;4.668,3051;;;0
Rio de Janeiro;Campos;7-MLS-131H-RJS;7MLS131HRJS         ;MARLIM SUL;Petrobras;480000037249774;2007/01;13.078,1361;0,0000;13.078,1361;163,6059;0,0000;163,6059;5.064,88554;0,0000;;;0
